subject,predicate,old_object,new_object
<https://id.analoggamemuseum.org/api/items/1502>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19095>
<https://id.analoggamemuseum.org/api/items/1502>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19096>
<https://id.analoggamemuseum.org/api/items/1505>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19238>
<https://id.analoggamemuseum.org/api/items/1505>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19239>
<https://id.analoggamemuseum.org/api/items/1506>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19214>
<https://id.analoggamemuseum.org/api/items/1506>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19215>
<https://id.analoggamemuseum.org/api/items/1507>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18983>
<https://id.analoggamemuseum.org/api/items/1507>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18984>
<https://id.analoggamemuseum.org/api/items/1509>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19030>
<https://id.analoggamemuseum.org/api/items/1509>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19031>
<https://id.analoggamemuseum.org/api/items/1509>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19032>
<https://id.analoggamemuseum.org/api/items/1510>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19324>
<https://id.analoggamemuseum.org/api/items/1510>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19325>
<https://id.analoggamemuseum.org/api/items/1510>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19326>
<https://id.analoggamemuseum.org/api/items/1512>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19260>
<https://id.analoggamemuseum.org/api/items/1512>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19261>
<https://id.analoggamemuseum.org/api/items/1513>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19007>
<https://id.analoggamemuseum.org/api/items/1513>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19008>
<https://id.analoggamemuseum.org/api/items/1514>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19306>
<https://id.analoggamemuseum.org/api/items/1514>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19307>
<https://id.analoggamemuseum.org/api/items/1515>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19118>
<https://id.analoggamemuseum.org/api/items/1515>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19119>
<https://id.analoggamemuseum.org/api/items/1522>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19054>
<https://id.analoggamemuseum.org/api/items/1522>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19055>
<https://id.analoggamemuseum.org/api/items/1525>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19140>
<https://id.analoggamemuseum.org/api/items/1525>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19141>
<https://id.analoggamemuseum.org/api/items/1526>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19343>
<https://id.analoggamemuseum.org/api/items/1526>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19344>
<https://id.analoggamemuseum.org/api/items/1527>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19284>
<https://id.analoggamemuseum.org/api/items/1527>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19285>
<https://id.analoggamemuseum.org/api/items/1528>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19187>
<https://id.analoggamemuseum.org/api/items/1528>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19188>
<https://id.analoggamemuseum.org/api/items/1529>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19163>
<https://id.analoggamemuseum.org/api/items/1529>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19164>
<https://id.analoggamemuseum.org/api/items/1531>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19101>
